상주식당,동성로2가 54-1,425-5924,한식,,,35.870386,128.59601
국일생갈비,동산동 106-1,254-5115,한식,,,35.870383,128.584531
풍기인삼갈비 단,동덕로 177 1층 (동인동2가),256-9292,한식,,,35.870503,128.604011
와촌손칼국시,동인동2가 61-3,253-7898,별식,,,35.870571,128.602719
부산안면옥,공평동 8-5,424-9389,별식,,,35.870644,128.598832
실비찜갈비,동인동1가 301-1,424-3443,동인동 찜갈비,,,35.870666,128.60478
월성찜갈비,동인동1가 300-1,424-6942,동인동 찜갈비,,,35.870745,128.604821
풍성찜갈비,동인동1가 311-2,424-6931,동인동 찜갈비,,,35.870874,128.605156
산호찜갈비,동인동1가 298-9,422-2523,동인동 찜갈비,,,35.87087,128.604868
교동따로,전동 27-1,254-8923,한식,,,35.870976,128.592289
벙글벙글,동인동1가 322-2,424-6881,동인동 찜갈비,,,35.870975,128.605132
원도매,동덕로12길 62 (공평동),425-6298,한식,,,35.856041,128.60464
더 스퀘어,문화동 11-1,664-1168,양식&외국식,,,35.870953,128.598107
유진찜갈비,동인동1가 298-3,425-7184,동인동 찜갈비,,,35.871065,128.604885
봉산찜갈비,동인동1가 332-3,425-4203,동인동 찜갈비,,,35.871223,128.60515
청나라 손짜장,공평로 79 1층 (동문동),423-4547,중식,,,35.871168,128.600406
낙영찜갈비,동인동1가 297-1,423-3330,동인동 찜갈비,,,35.871244,128.604924
수복식당,동인동1가 334-1,423-8667,동인동 찜갈비,,,35.871432,128.605415
미가도,포정동 52-2 ,252-8464,일식,,,35.871506,128.59287
성주,동산동15-1,255-6851,한식,,,35.871661,128.583622
국일삼계탕,달성로 73 1층 (시장북로),559-9229,한식,,,35.871759,128.581932
황소식당,포정동 69-1,421-9930,한식,,,35.871908,128.594632
본죽 동성로점,동성로 57 2층 (동성로2가),255-8009,한식,,,34.643274,126.771812
둥굴관,동인동1가 284,424-2826,한식,,,35.87205,128.602607
옛집,시장북로 120-2,554-4498,한식,,,35.872121,128.581784
유경식당,포정동21-3,252-5098,한식,,,35.872368,128.593109
녹양 ,향촌동74-5,257-1796,한식,,,35.872539,128.594029
관음 ,대안동 2-1,255-2775,한식,,,35.873378,128.59274
강산면옥(교동점),교동길 27-8 3층 (교동),425-1199,별식,,,35.87364,128.596412
부엉이 ,향촌동18,252-3151,한식,,,35.873823,128.59371
황소,북성로 104-11 1층 (향촌동),252-0110,한식,,,35.873852,128.593963
마당갈비,수창동 115,255-2324,한식,,,35.876284,128.582315
경주천년한우프라자,경상북도 경주시 갓뒤동녘길 5 (황성동),054-742-1452 ,,,http://1000hanwoo.com/,35.86935,129.219219
경주천년한우경주점,경상북도 경주시 북성로 64 (서부동),054-741-7001 ,,,http://1000hanwoo.com/,35.847131,129.208644
비천,경상북도 경주시 숲머리길 161 (보문동),054-773-8852 ,,,http://blog.naver.com/bitchen9834/,35.842982,129.253485
초콜릿 솜,경상북도 경주시 봉황로 35-1 (노서동),054-745-1009,,,http://blog.naver.com/mingki338,35.842768,129.209904
가비,경상북도 경주시 교동 63,054-771-2524,,,http://blog.naver.com/myth1515/,,
힐링키친,경상북도 경주시 천북면 서낭길 3-6,054-775-6999,,,http://blog.naver.com/rbehd88,35.868158,129.275775
향적원사찰음식점,경상북도 경주시 불국로 131 (마동),054-775-0014,,,http://cityfood.co.kr/h9/hyangjukwon,35.783892,129.307596
전통맷돌순두부,경상북도 경주시 숲머리길 111 (보문동),054-743-0111,,,http://home.etownpage.co.kr/main/main_tmp04.asp?cust_numb=8691233,35.840877,129.248472
누룽지 삼계탕 본마실,경상북도 경주시 알천남로 64 (성건동),054-742-5610,,,http://itvplus.co.kr/home9/bonmasil/,35.855894,129.209702
천년한우,경상북도 경주시 북성로 64 (서부동) ,054-741-7001,,,http://www.1000hanwoo.com/,35.847131,129.208644
둥지횟집,경상북도 경주시 안강읍 비화동길 23,054-761-1678,,,http://www.114int.net/0547611678/,35.98999,129.225304
about coffee,경상북도 경주시 중앙로36번길 3 (노동동),054-773-3863,,,http://www.aboutcoffee.kr,35.843072,129.211966
청마루숯불,경상북도 경주시 천북면 천강로 406,054-774-9292,,,http://www.bluemaru.net/,35.92308,129.289104
원할머니보쌈 경주황성점,경상북도 경주시 현곡면 용담로 171,054-777-5382,,,http://www.bossam.co.kr/,35.866784,129.203526
해남참가자미,경상북도 경주시 북천길 51-3 (동천동),054-773-9766,,,http://www.chamgajami.com/,35.852387,129.223775
신라숯불가든,경상북도 경주시 천북면 천강로 488-3,054-774-7462,,,http://www.cityfood.co.kr/h9/sinra,35.930075,129.287989
돌고래횟집,경상북도 경주시 감포읍 동해안로 1888-10,054-744-3507,,,http://www.dolgorae.net/,35.776166,129.494991
도리돈 불국사점,경상북도 경주시 불국로 197 (마동),054-775-3081,,,http://www.doridon.co.kr,35.785208,129.314685
한우리가든,경상북도 경주시 숲머리길 218 (보문동),054-771-9999,,,http://www.gjhanwoori.com/,35.844905,129.258736
동산한방오리전문점,경상북도 경주시 천북면 동산3길 17,054-774-1351,,,http://www.hanbangori.com,35.896461,129.269494
향리다원,경상북도 경주시 포석로 979 (사정동),054-742-6632,,,http://www.hyangri.com,35.828565,129.209448
이조한정식,경상북도 경주시 숲머리길 136 (보문동),054-775-3260,,,http://www.ijfood.co.kr/,35.841638,129.250955
정수가성,보불로 318(하동),054-745-7066,,,http://www.jungsugasung.co.kr,35.811306,129.307376
금강회센터,경상북도 경주시 감포읍 동해안로 1636,054-771-6387,,,http://www.keumgang-gampo.com,35.755704,129.49108
미스터피자 경주황성점,경상북도 경주시 황성로 7 (황성동),054-772-1525,,,http://www.mrpizza.co.kr,35.864268,129.213189
낙지마실,경상북도 경주시 북군길 9 (북군동),054-749-0048,,,http://www.njfood.co.kr/,35.851579,129.262976
황금알생오리,경상북도 경주시 내남면 포석로 508 ,054-745-7744,,,http://www.sintv.co.kr/7457744/,35.786623,129.205729
개성할매 순두부,경상북도 경주시 북군2길 5 (북군동),054-749-1333,,,http://www.개성할매순두부.kr/,35.851719,129.262431
경주쌈밥,경상북도 경주시 영불로 28 (시래동),054-772-3733,,,http://www.경주쌈밥.com,35.770097,129.31108
다유,경상북도 경주시 천북면 목실길 84-5,054-773-8866,,,http://www.다유.com,35.867531,129.271568
맷돌순두부,경상북도 경주시 북군길 7 (북군동),054-745-2791,,,http://www.맷돌순두부.kr,35.851773,129.262858
월정하연지,경상북도 경주시 일정로 18-6 (탑동),054-777-5432,,,http://www.월정하연지.com,35.826224,129.211529
외바우,경상북도 경주시 안강읍 구부랑3길 12,054-763-7733,,,http://www.일성.kr/,36.001119,129.195585
원주분식식당,강원도 원주시 학성동 329번지 5호  ,033 ­742 ­7409,한식,,,,
유가호,강원도 원주시 학성동 290번지  , 033­ 742­3342,중국식,,,,
달아달아,강원도 원주시 명륜동 26번지  , 033­ 761­8256,한식,,,37.343014,127.954487
쎈타식당,강원도 원주시 인동 242번지 16호  , 033­ 764­3668,한식,,,37.346064,127.953487
처가집손두부,강원도 원주시 우산동 90번지 4호  , 033­ 742­6728,한식,,,37.367036,127.939479
원주칼국수,강원도 원주시 인동 25번지 11호  , 033­ 764­0941,한식,,,37.346682,127.953689
왕뚜껑삼겹살,강원도 원주시 일산동 80번지 1호  , 033­ 745­4073,한식,,,37.349089,127.948424
충북집,강원도 원주시 단구동 618번지 7호  , 033­ 761­9538,한식,,,37.330485,127.958778
